"LABID","PT","PEN","AMO","MER","TAX","CFT","CFX","PEN_MIC_MM","AMO_MIC_MM","MER_MIC_MM","TAX_MIC_MM","CFT_MIC_MM","CFX_MIC_MM","PEN_MIC_RF","AMO_MIC_RF","MER_MIC_RF","TAX_MIC_RF","CFT_MIC_RF","CFX_MIC_RF","Platform"
"1309-00","2-0-0","0.03",NA,NA,NA,NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1311-99","2-4-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1318-00","15-12-18","2","1","0.5","1",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"1327-99","0-0-3","0.06","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1343-00","43-31-20","0.5","0.5","0.12","0.12",NA,"2","0.5","0.5","0.25","0.5",NA,"2","0.85","0.98","0.25","0.67","0.71","3.03","HiSeq"
"1361-00","1-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1368-00","2-0-50","0.03","0.03","0.06","0.12",NA,"0.5","0.06","0.06","0.06","0.12",NA,"0.5","0.05","0.05","0.06","0.13","0.5","0.5","HiSeq"
"1373-00","23-26-2","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"1396-00","23-0-2","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1457-00","2-0-6","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1460-00","0-0-71","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1461-00","2-3-2","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1464-00","0-0-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1506-98","23-26-2","0.03",NA,NA,NA,NA,"0.5","0.06","0.06","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"1533-00","0-0-2","0.03","0.03",NA,NA,NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"1534-99","23-26-2","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.51","HiSeq"
"1538-00","20-18-25","0.25","0.06",NA,NA,NA,"0.5","0.5","0.5","0.12","0.25","0.5","0.5","0.25","0.09","0.08","0.13","0.5","0.74","HiSeq"
"1553-99","27-36-8","4","8","2","2",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"1554-00","27-36-8","2","4","1","1",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"1556-00","27-36-8","2","4","0.5","0.5",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"1558-99","15-12-18","4","2","0.5","2",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"1560-99","38-16-36","2","2","1","1",NA,"4","4","2","0.5","2",NA,"4","3.35","2.04","0.51","1.25","0.93","3.88","HiSeq"
"1561-99","2-0-50","0.03","0.03","0.06","0.06",NA,"0.5","0.06","0.06","0.06","0.12",NA,"0.5","0.05","0.05","0.06","0.13","0.5","0.5","HiSeq"
"1564-99","27-36-8","4","8","1","1",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
