"LABID","PT","PEN","AMO","MER","TAX","CFT","CFX","PEN_MIC_MM","AMO_MIC_MM","MER_MIC_MM","TAX_MIC_MM","CFT_MIC_MM","CFX_MIC_MM","PEN_MIC_RF","AMO_MIC_RF","MER_MIC_RF","TAX_MIC_RF","CFT_MIC_RF","CFX_MIC_RF","Platform"
"20151518","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151520","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151617","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151618","0-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151619","1-4-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151620","19-1-24","0.5","0.12","0.06","0.25","0.5","0.5","0.25","0.12","0.06","0.12","0.5","0.5","0.26","0.15","0.06","0.12","0.5","0.51","MiSeq"
"20151621","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151622","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151623","4-7-7","2","4","0.5","1","1","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","MiSeq"
"20151624","1-4-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151626","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151631","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151632","2-0-111","0.06","0.06","0.06","0.25","0.5",NA,"0.06","0.03","0.06","0.12","0.5","0.5","0.07","0.05","0.07","0.14","0.51","0.55","MiSeq"
"20151633","17-15-22","1","0.12","0.12","0.25","0.5","0.5","0.5","0.5","0.25","0.25",NA,"0.5","0.47","0.09","0.13","0.19","0.53","0.59","MiSeq"
"20151634","1-44-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151636","2-0-120","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151637","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151638","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151639","0-1-1","0.25","0.06","0.06","0.06","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20151640","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151641","19-31-8","1","1","0.25","0.25","0.5","2","0.5","0.5","0.12","0.25",NA,"2","0.57","0.62","0.14","0.31","0.56","1.84","MiSeq"
"20151642","0-1-1","0.25","0.12","0.06","0.12","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20151885","10-9-13","0.5","0.5","0.25","0.25","0.5","0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.4","0.18","0.08","0.18","0.52","1.03","MiSeq"
"20151886","11-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151887","1-4-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151888","0-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151890","9-4-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151891","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151892","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151893","4-7-7","2","4","1","1","1","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","MiSeq"
"20151894","0-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151895","4-7-7","4","4","1","1","2","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","MiSeq"
"20151896","0-1-48","0.25","0.25","0.06","0.12","0.5","0.5","0.25","0.06","0.06","0.06","0.5","0.5","0.3","0.23","0.1","0.32","0.65","1.52","MiSeq"
"20151897","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151898","0-1-1","0.25","0.06","0.06","0.12","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20151899","0-1-1","0.25","0.12","0.06","0.06","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20151900","2-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20151901","2-4-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152129","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152130","4-7-7","4","4","1","1","1","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","MiSeq"
"20152131","4-12-7","2","4","0.5","1","1","4","2","4","0.5","1","1","4","1.96","2.07","0.62","0.81","0.9","3.51","MiSeq"
"20152132","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152133","2-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152134","2-6-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152151","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152152","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152154","1-2-59","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.04","0.06","0.06","0.5","0.5","MiSeq"
"20152156","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152157","0-1-1","0.25","0.12","0.06","0.12","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20152158","1-2-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152159","24-27-28","0.25","0.03","0.06","0.06","0.5","0.5","0.25","0.06","0.06","0.12","0.5","0.5","0.21","0.08","0.06","0.12","0.51","0.5","MiSeq"
"20152160","15-16-8","1","1","0.5","0.5","1","4","4","2","0.5","1","1","4","2.59","2.01","0.52","1.04","0.79","3.93","MiSeq"
"20152191","19-31-8","0.5","1","0.12","0.5","0.5","2","0.5","0.5","0.12","0.25",NA,"2","0.57","0.62","0.14","0.31","0.56","1.84","MiSeq"
"20152192","12-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152193","2-4-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152194","2-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152204","13-14-26","4","8","0.5","4","4","4","8","16","1","8","8","4","6.4","13.33","1.11","8.23","6.88","4","MiSeq"
"20152206","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152208","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152209","2-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152210","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152214","13-11-16","4","8","1","1","1","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","MiSeq"
"20152216","13-14-26","8","16","1","8","8","4","8","16","1","8","8","4","6.4","13.33","1.11","8.23","6.88","4","MiSeq"
"20152217","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152218","2-4-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152219","13-11-16","4","8","1","2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","MiSeq"
"20152220","1-0-0","0.03","0.06","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152222","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152223","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152224","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152239","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152240","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152242","12-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152243","0-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152244","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152245","8-0-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","MiSeq"
"20152246","0-0-17","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152247","4-7-7","2","2","0.5","1","1","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","MiSeq"
"20152248","11-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152249","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152250","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152251","0-1-1","0.25","0.06","0.06","0.06","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20152252","2-6-10","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152253","24-27-11","0.06","0.06","0.06","0.06","0.5","0.5","0.5","0.25","0.06","0.25","0.5","0.5","0.18","0.11","0.06","0.07","0.5","0.5","MiSeq"
"20152254","12-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152255","4-7-7","2","4","1","1","1","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","MiSeq"
"20152256","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152257","0-29-11","0.12","0.12","0.06","0.06","0.5","0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","MiSeq"
"20152258","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152259","0-1-1","0.25","0.12","0.06","0.06","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20152260","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152261","1-4-21","0.06","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152262","2-0-111","0.06","0.06","0.06","0.25","0.5","1","0.06","0.03","0.06","0.12","0.5","0.5","0.07","0.05","0.07","0.14","0.51","0.55","MiSeq"
"20152263","0-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152264","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152265","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152266","8-0-11","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.12","0.06","0.06","0.5","0.5","0.1","0.06","0.06","0.06","0.5","0.5","MiSeq"
"20152267","0-10-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152268","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152269","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152270","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152271","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152272","2-6-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152273","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152274","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152275","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152276","0-1-1","0.25","0.06","0.06","0.06","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20152277","0-1-1","0.25","0.06","0.06","0.06","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20152278","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152422","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152434","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152435","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152627","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152628","19-31-8","0.5","1","0.12","0.5","0.5","2","0.5","0.5","0.12","0.25",NA,"2","0.57","0.62","0.14","0.31","0.56","1.84","MiSeq"
"20152629","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152630","9-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152631","7-8-9","0.25","0.5","0.12","0.06","0.5","0.5","0.25","0.06","0.06","0.06","0.5","0.5","0.28","0.25","0.23","0.14","0.56","0.57","MiSeq"
"20152632","1-4-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152633","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152634","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152635","4-7-7","1","2","0.5","1","1","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","MiSeq"
"20152638","6-7-8","0.5","1","0.12","0.25","0.5","2","0.5","0.5","0.12","0.25",NA,"2","0.54","0.69","0.14","0.33","0.51","1.69","MiSeq"
"20152639","13-11-16","4","8","1","2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","MiSeq"
"20152641","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152644","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152645","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152646","3-6-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152647","7-8-9","0.25","0.5","0.25","0.06","0.5","0.5","0.25","0.06","0.06","0.06","0.5","0.5","0.28","0.25","0.23","0.14","0.56","0.57","MiSeq"
"20152648","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152649","4-7-7","2","2","0.5","1","1","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","MiSeq"
"20152650","13-11-16","4","8","1","2","2","4","2","2","1","0.25","0.5","2","2.63","4.87","0.92","1.07","0.9","3.61","MiSeq"
"20152651","4-7-7","2","4","0.5","1","1","4","2","1","0.5","1","1","4","1.81","2.06","0.6","0.89","0.81","3.99","MiSeq"
"20152652","4-14-7","2","8","1","1","1","4","2","4","0.5","1","1","4","4.35","7.39","1.06","1.14","1.08","3.78","MiSeq"
"20152653","24-27-11","0.25","0.25","0.06","0.06","0.5","0.5","0.5","0.25","0.06","0.25","0.5","0.5","0.18","0.11","0.06","0.07","0.5","0.5","MiSeq"
"20152654","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.25",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152656","19-1-24","0.5","0.25","0.06","0.25","0.5","0.5","0.25","0.12","0.06","0.12","0.5","0.5","0.26","0.15","0.06","0.12","0.5","0.51","MiSeq"
"20152658","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152662","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152663","0-10-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152664","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152665","0-1-1","0.25","0.06","0.06","0.12","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20152666","0-1-1","0.25","0.12","0.06","0.12","0.5","0.5","0.25","0.03","0.06","0.12","0.5","0.5","0.2","0.04","0.06","0.11","0.5","0.51","MiSeq"
"20152668","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152669","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152670","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152671","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152672","0-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152673","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152675","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152676","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152677","2-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152679","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152681","23-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152682","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152683","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152685","1-4-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq"
"20152687","24-27-28","0.12","0.06","0.06","0.06","0.5","0.5","0.25","0.06","0.06","0.12","0.5","0.5","0.21","0.08","0.06","0.12","0.51","0.5","MiSeq"
"20152691","11-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.04","0.03","0.06","0.06","0.5","0.5","MiSeq"
